main_sku,master_sku,name,тип,barcode,barcodes,является_основным,основной_sku,дубли,компоненты_count,компоненты,входит_в_комплекты
105831949_533599386,118579472,Round Lab крем Pine Calming Cica для лица 50 мл,Товар,,,да,,,0,,116643914_219022842
105073349_558522323,105073349,Eveline Cosmetics Wonder Match тональный крем 35 Beige 30 мл,Товар,,,да,,,0,,
105011479_15142052,105011479,Eveline Cosmetics Wonder Match тональный крем 25 Light Beige 30 мл,Товар,5903416030409,5903416030409,да,,,0,,
103655273_15142052,101256409,Some by Mi сыворотка Super Matcha Pore Tightening Serum для лица 50 мл,Товар,,,да,,,0,,
114097287_263052925,114097287,Tashe Питательный кондиционер для волос с ультра блеском 300 мл,Товар,4812413000913,4812413000913,да,,153379627_562254666,0,,"151080381_674955211,112626222_182336133,114344103_804034449"
101181138_101405386,101181138,Etude Soon Jung pH 5.5 пенка 150 мл,Товар,8809820696637,8809820696637,да,,,0,,115250020_625562029
505548447,116881988,1Kids Йода-Line Детская каша 1 шт 280 мл,Товар,,,да,,,0,,"100184938,569204473,219401666,217710861"
100184938,116881997,1Kids Йода-Line Детская каша 2 шт 280 мл,Товар,,,да,,,1,505548447|1Kids Йода-Line Детская каша 1 шт 280 мл|2.0,
112798695_278813825,112798695,Torriden Dive-In Low Molecular пенка 150 мл,Товар,8809784600404,8809784600404,да,,,0,,
109021923_447204937,109021923,ORVA Terkur 19% крем для ног 30 г,Товар,,,да,,,0,,
118331746_966130543,118331746,Sen Sulu Shimmering блеск для губ прозрачный 01 Ice,Товар,8682504114654,8682504114654,да,,,0,,
100825018_916938,100825018,Lumene Color Correcting SPF20 СС крем Ultra Light 30 мл,Товар,6412600834901,6412600834901,да,,,0,,
123486376_136600974,123486376,Tocobo Cica Calming энзимная пудра 50 г,Товар,8809835060607,8809835060607,да,,,0,,
113564064_378186190,113564064,Bielita-Вiтекс скраб Pink Passion для тела 200 мл,Товар,4813406012128,4813406012128,да,,,0,,"122434668_679154651,121711505_310510652,122564762_175568691,117773681_567082235,132878976_025444423,122243140_331008490"
114910624_519597,114910624,Anua сыворотка Green Lemon Vita C 20% для лица 20 мл,Товар,,,да,,,0,,
110658859_754891306,110658859,Some by Mi тонер Beta Panthenol Repair Toner 150 мл,Товар,8809647392750,8809647392750,да,,,0,,
110542797_142079,110542797,MEDI-PEEL крем Hyal Kombucha Tea-Tox для лица 50 мл,Товар,,,да,,,0,,
100155533_674816,100155533,Cali Girl тени Hollywood Medium/Dark,Товар,712758189158,712758189158,да,,,0,,
108133175_145507261,108133175,Celimax Ji Woo Gae Cica BHA Acne пенка 150 мл,Товар,8809783324097,8809783324097,да,,,0,,
108384966_186621566,108384966,Shiseido маска Fino Premium Touch восстановление и увлажнение с пчелиным маточным молочком 230 мл,Товар,4550516493583,4550516493583,да,,,0,,
100113769_15142052,100113769,MEDI-PEEL крем Collagen Naite Thread Neck для зоны декольте 100 мл,Товар,8809941825688,8809941825688,да,,,0,,
124456148_212132038,124456148,Tashe кондиционер Rosemary lush 300 мл,Товар,4812413006687,4812413006687,да,,,0,,
103323801_498972904,103323801,ITALWAX Белый шоколад средний пленочный воск 100 г,Товар,8052532724918,8052532724918,да,,,0,,
124523514_798920732,124523514,MIZON Phyto Plump Collagen набор по уходу за лицом для женщин,Товар,,,да,,,0,,
100729116_559874,100729116,CJ LION Ban Premium дезодорант для женщин 30 мл,Товар,4903301188711,4903301188711,да,,,0,,
142747053_988303731,142747053,Sen Sulu Lip блеск для губ 03 caramel souffle,Товар,8683077752908,8683077752908,да,,,0,,
100423176_512837,100423176,Farmstay сыворотка All-In-One Green Tea Seed Ampoule для лица 250 мл,Товар,,,да,,,0,,
100665801_15142052,100665801,A'pieu Pure Block Aqua Sun Gel SPF50 гель для тела и лица 50 мл,Товар,,,да,,,0,,
142742969_989655861,142742969,Sen Sulu Kiss sculpt карандаш 04 cinnamon spice,Товар,8694752189583,8694752189583,да,,,0,,
112607931_710538799,112607931,Clinique Almost Lipstick помада Black Honey,Товар,,,да,,,0,,
102569784_365859930,102569784,MEDI-PEEL Micro Tea энзимная пудра 70 г,Товар,8809409347776,8809409347776,да,,,0,,
100206541_533768,100206541,"Тушь для ресниц Shik Extra Volume Eyelash для объема, удлиняющая, подкручивающая черный",Товар,,,да,,,0,,
134659950_098356430,134659950,Sen Sulu Concealer консилер 03 natural beige,Товар,8682504115118,8682504115118,да,,,0,,
106118908_844711806,106118908,Ollin Professional Salon Beauty с экстрактом ламинарии шампунь 1000 мл,Товар,4660077773168,4660077773168,да,,,0,,129331227_181783625
101844355_15142052,101844355,Pyunkang Yul крем Acne для лица 50 мл,Товар,,,да,,,0,,
101810014_15142052,101810014,Dr.Ceuracle крем Cica Regen Vegan SPF50 для лица 50 мл,Товар,8806133616659,8806133616659,да,,"122083028_805138076,131147329_121432979,134393431_730065027,133228277_096661453",0,,"119121546_832239440,786853134,109745391_832819,109744613_667725,104338160_970515"
104464180_689076,104464180,Isntree гель Hyaluronic Acid Watery SPF50 для лица 50 мл,Товар,8809686384204,8809686384204,да,,"137036322_077378064,105212827_743198",0,,
112626111_447535458,112626111,The Act скраб полирующий с отшелушивающим действием для лица 65 мл,Товар,4678599767572,4678599767572,да,,,0,,
17500777_846584289,17500777,Holika Holika Petit BB крем Bouncing 30 мл,Товар,,,да,,,0,,
100368434_186437,100368434,Патчи COSRX точечные Acne Pimple Master противовоспалительные 24 шт,Товар,8809416470245,8809416470245,да,,,0,,112617459_008063846
122386562_090827809,122386562,The Act спрей мист для лица увлажняющий 150 мл,Товар,4678597699905,4678597699905,да,,,0,,
103029462_582356,103029462,ART SOFFIO карандаш koloris classic KL-5-01 для глаз черный,Товар,2100000000104,2100000000104,да,,,0,,
100703395_472376417,100703395,Black Rice тонер Intensive 150 мл,Товар,,,да,,,0,,
105599599_370832348,105599599,Loreal Paris подводка-фломастер черный Perfect Slim №01 Black,Товар,,,да,,,0,,
105263927_272540,105263927,"Round Lab крем Birch Juice Moisturizing SPF50 для лица, для зоны декольте 50 мл",Товар,8809782551814,8809782551814,да,,,0,,"117210045_985906823,116643914_219022842,117524727_243310155,119299764_343767472,117942762_606189523"
101389471_269646,101389471,Beauty of Joseon сыворотка Glow Propolis Niacinamide для лица 30 мл,Товар,,,да,,,0,,"115677322_604449,115841574_239537"
135002756_199633916,135002756,Kaori No Mori шампунь 500 мл,Товар,4557855643228,4557855643228,да,,,0,,
100554917_957633,100554917,Loreal Paris Alliance Perfect Новая формула тональный крем N2 30 мл,Товар,3600523016600,3600523016600,да,,,0,,
106595621_631320741,106595621,Пудра Beauty Creations Bye Filter Loose Setting Powder рассыпчатая Translucent полупрозрачный,Товар,,,да,,,0,,
164661576_546039255,164661576,Pom7 Smart Hybrid BB крем 23 30 мл,Товар,,,нет,167445559_643692032,,0,,
106713183_982754,106713183,BEAUTY PROFF спонж скошенный таклон 1 шт,Товар,,,нет,107738686_939203,,0,,
103058738_15142052,103058738,MANYO тонер Bifida Biome Ampoule 400 мл,Товар,,,да,,101041733_15142052,0,,
101724518_890202221,101724518,Воск ITALWAX Натуральный плотность средняя в картридже 100 мл,Товар,,,да,,,0,,116768471_008857175
132233397_616833669,132233397,AXIS-Y Glow Your Own Way Limited Edition Set набор по уходу за лицом унисекс,Товар,8809634610997,8809634610997,да,,,0,,
100206639_027704065,100206639,Shik Lip Pencil карандаш Bellagio,Товар,4631141139159,4631141139159,да,,,0,,
108286551_511672379,108286551,Skin1004 Madagascar Centella Tea Trica BHA пенка 125 мл,Товар,8809576261714,8809576261714,да,,,0,,
108967160_264713,108967160,Tocobo крем Bio Hyaluronic Acid Watery SPF50 для лица 50 мл,Товар,8809835060058,8809835060058,да,,,0,,
104770477_15142052,104770477,Round Lab тонер 1025 Dokdo 200 мл,Товар,8809657114731,8809657114731,да,,"141361000_454975913,142837769_527282001",0,,
118680247_392990017,118680247,PRE MORE Aqua Glow Sun Base SPF50 основа под макияж для лица 50 мл,Товар,,,да,,,0,,
114700466_590521,114700466,Тушь для ресниц Vivienne Sabo Lashextase для объема черный,Товар,3666670811208,3666670811208,да,,,0,,
113440366_897538,113440366,"Тушь для ресниц Vivienne Sabo Grand Noire для объема, удлиняющая черный",Товар,3666670811215,3666670811215,да,,,0,,
100904399_952345,100904399,Farmstay Tropical Fruit с авокадо и маслом ши крем для рук 50 мл,Товар,,,да,,,0,,
104887944_355787292,104887944,Celimax тонер The Real Noni Moisture Balancing Toner 150 мл,Товар,8809954940132,8809954940132,да,,144174580_606880954,0,,
115753221_804610002,115753221,The Act Масло для массажа тела парфюмированное virgin масло для тела 300 мл,Товар,4678599767664,4678599767664,да,,,0,,"129087331_069017972,129083852_559821810"
110227980_542094,110227980,LAGOM Haydonna Summer Night Box набор по уходу за лицом для женщин,Товар,,,да,,,3,114327892_849360|LAGOM Cellup micro пенка 120 мл|1.0; 116840802_191970522|LAGOM крем Cellus Sun Gel Plus SPF 50+ PA+++ для лица 40 мл|1.0; 105126288|LAGOM сыворотка Cellus Aqualane Solution для лица 50 мл|1.0,
166630424_756458464,166630424,Pom7 Smart Hybrid BB крем 23 45 мл,Товар,,,нет,167445559_643692032,,0,,
21900313_830391,21900313,TONY MOLY Clean Dew Lemon пенка 180 мл,Товар,8806358531218,8806358531218,да,,,0,,
21900533_802627,101370495,Farmstay Green Tea Seed пенка 180 мл,Товар,,,да,,,0,,
101376861_229701,101376861,COSRX Advanced Snail Mucin гель 150 мл,Товар,,,да,,,0,,
113513759_936607309,113513759,Romand Zero Matte Lipstick помада 14 Sweet P,Товар,,,да,,,0,,
100665958_051986586,100665958,Black Rice сыворотка Black Rice Intensive для лица 50 мл,Товар,8809480655432,8809480655432,да,,,0,,
130381357_059587095,130381357,The Act крем-гель увлажняющий для лица 65 мл,Товар,4678597699516,4678597699516,да,,,0,,
114802007_623646962,114802007,BIDALLI сыворотка Vegan Hyaluronic Pure Cica для лица 50 мл,Товар,8809443285645,8809443285645,да,,,0,,"119298346_887098308,122460835_990166654,119189847_119788968"
100644616_595447,100644616,Tony Moly Backstage Gel Eyeliner,Товар,8806358512347,8806358512347,да,,,0,,
100552565_144438137,100552565,Маска для лица EKEL тканевая Vitamin Ultra Hydrating 1 шт,Товар,,,да,,,0,,GIFT_MASK
110290344_158497961,110290344,The Act крем дневной для лица 65 мл,Товар,4678599767534,4678599767534,да,,,0,,
100554818_117795,100554818,Маска для лица Farmstay тканевая Snail 1 шт,Товар,,,да,,,0,,"102047781_181102,105118327_972657,108665217_393964,GIFT_MASK"
155105033_397737342,155105033,RoRoBell Bfadation тональный крем 19 30 мл,Товар,8800316298564,8800316298564,да,,,0,,
107623827_15142052,107623827,Dr.Cellio сыворотка Ssingssing Ampoule Fresh 4 in 1 для лица 50 мл,Товар,,,да,,,0,,116786920_608491452
124065174_275312645,124065174,Celimax крем Celimax THE -A Retinal Shot Tightening Booster 15ml для лица 15 мл,Товар,8809700320812,8809700320812,да,,,0,,139184723_666001614
101844174_15142052,101844174,Cos De BAHA G Glycolic Acid 10 Aha Serum сыворотка 30 ml,Товар,8809240317839,8809240317839,да,,,0,,
113491646_755112,113491646,Dr.Cellio 4 in 1 2Set Moisture набор по уходу за лицом для женщин,Товар,,,да,,,0,,
141984821_455258344,141984821,LAGOM Cellup Micro Pore Cleansing Oil 200ml гидрофильное масло 200 мл,Товар,8809450982773,8809450982773,да,,,0,,
100904581_868754,100904581,Sulwhasoo Gentle Cleansing пенка 200 мл,Товар,,,да,,,0,,
112522273_859480,112522273,Needly эссенция Ph Balancing для лица 145 мл,Товар,8809455421024,8809455421024,да,,,0,,
101239668_346501,101239668,Dr.Ceuracle тонер Tea Tree Purifine 70 100 мл,Товар,,,да,,,0,,
117051002_835328566,117051002,"Come inside me Bombshell духи PARFUM 7 мл, унисекс",Товар,8809783300169,8809783300169,да,,"117975879_157870937,121095252_943338157",0,,"117382773_143054845,117250372_009796355,117120929_258990580,117120989_939171953,117199007_878384693"
101590335_15142052,100950562,Dr.Ceuracle тонер 5α Control Clearing 120 мл,Товар,,,да,,,0,,117414872_378339995
105530095_999491975,105530095,Celimax Dual Barrier Mild гель-пенка 200 мл,Товар,8809606850499,8809606850499,да,,,0,,"131118389_552853494,121936672_292631276"
140943360_034375373,140943360,Sen Sulu глиттер прессованные Sparkle mood 02 Golden gleam,Товар,8682504115168,8682504115168,да,,,0,,
105530091_328572287,105530091,Celimax Noni Ultimate крем для области вокруг глаз 20 мл,Товар,8809606850666,8809606850666,да,,,0,,
114500501_186965896,114500501,Tashe Hydration and Smoozing шампунь 300 мл,Товар,4812413003112,4812413003112,да,,,0,,
102747213_503721344,102747213,Nexprof (Nexxt Professional) Lamination Keratin шампунь 1000 мл,Товар,,,да,,,0,,
114306005_288194818,114306005,Influence Matte фиксатор макияжа для лица 110 мл,Товар,4602006310921,4602006310921,да,,,0,,
102371599_847994247,102371599,KIKO Milano Lip Volume блеск для губ 01 Tutu Rose,Товар,,,да,,,0,,
131455708_622939250,131455708,The Act набор кремов дневной и ночной питательный для лица 65 мл,Товар,4630420060047,4630420060047,да,,,0,,
39000109_800444,39000109,Vivienne Sabo карандаш Brow Arcade 02 коричневый,Товар,,,да,,,0,,
103373497_976855749,103373497,Nexprof (Nexxt Professional) Keratin шампунь 1000 мл,Товар,,,да,,,0,,
101273547_311772341,101273547,Маска для лица RICHE крем Spirulina + Kombucha Detox 75 мл,Товар,4673754870142,4673754870142,да,,,0,,
102195031_369877,102195031,Пудра Gabrini Matte Powder сухая №01 светло-бежевый,Товар,,,да,,,0,,
